product_id,old_price,new_price,updated_at
64,270000,239000,09/10/2018 16:37
3954203,60000,64000,09/11/2018 11:54
3954203,60500,57500,9/17/18 22:59
3954203,64000,60500,9/15/18 3:49
3954203,68800,60000,09/10/2018 16:32
3998909,15500,16500,9/16/18 5:09
3998909,17000,15500,9/13/18 6:43
3998909,19000,17000,09/10/2018 16:35
4085861,53500,52000,9/17/18 22:59
4085861,53500,67000,09/12/2018 03:51
4085861,58000,53500,9/17/18 3:35
4085861,60000,53500,09/11/2018 08:51
4085861,62500,58000,9/15/18 3:51
4085861,67000,62500,9/13/18 6:43
